# Server version 0.08 running on 192.168.2.17:8123
# Game ID: 465
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Fri Apr 11 04:21:58 GMT-04:00 2014
# Player 1: Player-0, 'random', running on 192.168.2.17
# Player 2: Player-1, '260449697', running on 192.168.2.17
# Player 3: Player-2, 'random', running on 192.168.2.17
# Player 4: Player-3, '260449697', running on 192.168.2.17
START Player-0 random
START Player-1 260449697
START Player-2 random
START Player-3 260449697
3 (3,3) (1,3)
3 null null
0 (0,4) (1,5)
1 (12,1) (10,3)
1 null null
2 (4,11) (3,10)
3 (1,3) (0,2)
0 (4,2) (3,3)
1 (14,3) (13,4)
2 (0,14) (0,15)
3 (13,15) (12,14)
0 (2,6) (1,6)
1 (15,0) (14,1)
2 (3,10) (4,10)
3 (12,14) (12,12)
3 null null
0 (1,2) (0,3)
1 (14,1) (13,2)
2 (4,10) (5,10)
3 (13,13) (11,11)
3 (11,11) (9,11)
3 null null
0 (1,5) (2,4)
1 (13,2) (12,3)
2 (0,13) (0,14)
3 (15,15) (14,14)
0 (2,4) (4,4)
0 null null
1 (10,11) (8,11)
1 (8,11) (6,9)
1 (6,9) (4,11)
1 (4,11) (4,13)
1 (4,13) (2,13)
1 (2,13) (0,13)
1 null null
2 (3,14) (2,13)
3 (14,14) (13,13)
0 (0,1) (1,0)
1 (3,5) (5,3)
1 (5,3) (7,5)
1 (7,5) (7,3)
1 (7,3) (5,5)
1 (5,5) (5,7)
1 null null
2 (3,12) (4,11)
3 (13,13) (11,11)
3 null null
0 (1,6) (1,5)
1 (11,2) (9,4)
1 null null
2 (5,14) (6,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 (10,11) (8,11)
3 (8,11) (6,9)
3 null null
0 (2,3) (1,3)
1 (10,3) (8,5)
1 (8,5) (6,3)
1 (6,3) (6,5)
1 (6,5) (4,7)
1 null null
2 (2,13) (3,14)
3 (12,12) (10,10)
3 (10,10) (8,12)
3 null null
0 (3,3) (3,5)
0 (3,5) (5,3)
0 (5,3) (7,5)
0 (7,5) (7,3)
0 (7,3) (5,5)
0 null null
1 (13,4) (11,2)
1 (11,2) (9,2)
1 null null
2 (6,13) (7,14)
3 (4,3) (4,5)
3 (4,5) (2,3)
3 null null
0 (4,4) (4,3)
1 (4,14) (2,12)
1 (2,12) (0,12)
1 null null
2 (7,14) (8,13)
3 (6,4) (4,6)
3 (4,6) (4,8)
3 (4,8) (6,6)
3 (6,6) (4,4)
3 (4,4) (2,4)
3 (2,4) (2,2)
3 (2,2) (2,0)
3 null null
0 (3,0) (4,1)
1 (4,7) (3,8)
2 (8,13) (7,12)
3 (8,4) (6,4)
3 (6,4) (4,6)
3 (4,6) (6,6)
3 (6,6) (4,4)
3 (4,4) (2,4)
3 (2,4) (2,2)
3 null null
0 (1,1) (1,2)
1 (10,2) (9,3)
2 (7,12) (7,13)
3 (2,3) (0,1)
3 null null
0 (3,1) (3,3)
0 (3,3) (5,3)
0 null null
1 (9,3) (9,5)
1 null null
2 (3,14) (3,12)
2 (3,12) (5,12)
2 (5,12) (3,10)
2 null null
3 (5,6) (5,4)
3 (5,4) (5,2)
3 (5,2) (3,0)
3 null null
0 (1,0) (1,1)
1 (9,4) (9,6)
1 (9,6) (9,8)
1 null null
2 (7,13) (6,12)
3 (9,11) (7,13)
3 (7,13) (5,11)
3 (5,11) (5,9)
3 (5,9) (7,9)
3 (7,9) (7,11)
3 (7,11) (5,13)
3 (5,13) (3,11)
3 (3,11) (3,9)
3 (3,9) (3,7)
3 null null
0 (1,5) (1,6)
1 (12,3) (11,4)
2 (1,12) (0,11)
3 (9,7) (8,6)
0 (5,3) (6,3)
1 (9,5) (7,7)
1 null null
2 (4,12) (3,12)
3 (8,6) (6,8)
3 (6,8) (4,6)
3 (4,6) (2,8)
3 (2,8) (4,8)
3 (4,8) (6,6)
3 (6,6) (4,4)
3 (4,4) (2,4)
3 null null
0 (4,3) (4,4)
