# Server version 0.08 running on Claudine-PC:8123
# Game ID: 524
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Fri Apr 11 17:07:51 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on Claudine-PC
# Player 2: Player-1, '260449697', running on Claudine-PC
# Player 3: Player-2, '260449697', running on Claudine-PC
# Player 4: Player-3, '260449697', running on Claudine-PC
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
3 (11,12) (11,14)
3 (11,14) (13,12)
3 (13,12) (13,10)
3 (13,10) (11,8)
3 (11,8) (9,6)
3 null null
0 (4,6) (6,8)
0 (6,8) (8,8)
0 (8,8) (10,6)
0 (10,6) (8,6)
0 (8,6) (10,8)
0 null null
1 (12,3) (10,5)
1 (10,5) (8,7)
1 (8,7) (6,9)
1 (6,9) (4,7)
1 (4,7) (4,9)
1 (4,9) (4,11)
1 (4,11) (4,13)
1 (4,13) (2,13)
1 null null
2 (2,11) (4,11)
2 (4,11) (4,9)
2 (4,9) (4,7)
2 (4,7) (6,9)
2 (6,9) (8,7)
2 (8,7) (10,5)
2 (10,5) (12,5)
2 (12,5) (10,3)
2 (10,3) (12,1)
2 null null
3 (9,11) (7,9)
3 (7,9) (7,7)
3 null null
0 (3,3) (1,3)
0 (1,3) (3,5)
0 (3,5) (5,3)
0 (5,3) (5,5)
0 null null
1 (13,3) (13,5)
1 (13,5) (11,7)
1 (11,7) (9,9)
1 (9,9) (7,11)
1 null null
2 (5,11) (7,9)
2 (7,9) (9,11)
2 (9,11) (9,9)
2 (9,9) (11,7)
2 (11,7) (13,5)
2 (13,5) (13,3)
2 null null
3 (9,10) (7,10)
3 (7,10) (5,10)
3 (5,10) (3,10)
3 null null
0 (4,4) (6,4)
0 (6,4) (4,6)
0 (4,6) (6,8)
0 (6,8) (8,6)
0 (8,6) (10,6)
0 (10,6) (8,8)
0 null null
1 (10,7) (8,7)
1 (8,7) (8,9)
1 (8,9) (8,11)
1 (8,11) (6,11)
1 (6,11) (6,9)
1 (6,9) (4,9)
1 (4,9) (4,11)
1 (4,11) (2,11)
1 null null
2 (6,3) (4,5)
2 (4,5) (6,5)
2 (6,5) (4,7)
2 (4,7) (4,9)
2 (4,9) (6,7)
2 (6,7) (8,7)
2 (8,7) (10,5)
2 (10,5) (12,3)
2 (12,3) (14,3)
2 null null
3 (12,12) (12,14)
3 (12,14) (10,12)
3 (10,12) (12,10)
3 (12,10) (10,10)
3 null null
0 (2,4) (2,2)
0 (2,2) (4,2)
0 (4,2) (4,4)
0 (4,4) (6,4)
0 (6,4) (4,6)
0 (4,6) (6,8)
0 (6,8) (8,6)
0 (8,6) (10,6)
0 null null
GAMEOVER TIMEOUT Player-1
WINNER Player-0
# Game ended: Fri Apr 11 17:08:08 GMT-04:00 2014
