# Server version 0.08 running on 142.157.180.166:8123
# Game ID: 317
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Thu Apr 10 01:01:53 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.180.166
# Player 2: Player-1, '260449697', running on 142.157.180.166
# Player 3: Player-2, '260449697', running on 142.157.180.166
# Player 4: Player-3, '260449697', running on 142.157.180.166
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
0 (1,1) (3,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (1,15) (3,13)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,2) (2,4)
0 null null
1 (14,0) (12,2)
1 null null
2 (2,14) (4,12)
2 null null
3 (13,13) (11,11)
3 null null
0 (2,0) (4,2)
0 null null
1 (14,2) (12,4)
1 null null
2 (3,13) (5,11)
2 null null
3 (12,12) (10,10)
3 null null
0 (2,2) (4,4)
0 null null
1 (13,1) (11,3)
1 null null
2 (4,12) (6,10)
2 null null
3 (11,11) (9,9)
3 null null
0 (1,3) (3,5)
0 null null
1 (13,3) (11,5)
1 null null
2 (5,11) (7,9)
2 null null
3 (10,10) (8,8)
3 null null
0 (3,1) (5,3)
0 null null
1 (12,2) (10,4)
1 null null
2 (7,9) (9,7)
2 null null
3 (9,9) (7,7)
3 null null
0 (3,3) (5,5)
0 null null
1 (12,4) (10,6)
1 null null
2 (1,14) (3,12)
2 null null
3 (8,8) (6,6)
3 null null
0 (4,2) (6,4)
0 null null
1 (10,6) (8,8)
1 null null
2 (2,15) (4,13)
2 null null
3 (15,14) (13,12)
3 null null
0 (2,4) (4,6)
0 null null
1 (15,2) (13,4)
1 null null
2 (3,14) (5,12)
2 null null
3 (14,15) (12,13)
3 null null
0 (3,5) (5,7)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,13) (4,11)
2 null null
3 (14,13) (12,11)
3 null null
0 (5,3) (7,5)
0 null null
1 (13,0) (11,2)
1 null null
2 (3,12) (5,10)
2 null null
3 (13,14) (11,12)
3 null null
0 (4,6) (6,8)
0 null null
1 (13,2) (11,4)
1 null null
2 (4,13) (6,11)
2 null null
3 (12,13) (10,11)
3 null null
0 (6,4) (8,6)
0 null null
1 (14,3) (12,5)
1 null null
2 (4,11) (6,9)
2 null null
3 (13,12) (11,10)
3 null null
0 (5,7) (7,9)
0 null null
1 (12,1) (10,3)
1 null null
2 (5,12) (7,10)
2 null null
3 (12,11) (10,9)
3 null null
0 (1,0) (3,2)
0 null null
1 (13,4) (11,6)
1 null null
2 (6,11) (8,9)
2 null null
3 (11,12) (9,10)
3 null null
0 (0,1) (2,3)
0 null null
1 (12,3) (10,5)
1 null null
2 (5,10) (7,8)
2 null null
3 (11,10) (9,8)
3 null null
0 (1,2) (3,4)
0 null null
1 (11,2) (9,4)
1 null null
2 (6,9) (8,7)
2 null null
3 (9,8) (7,6)
3 null null
0 (2,1) (4,3)
0 null null
1 (12,5) (10,7)
1 null null
2 (7,10) (9,8)
2 null null
3 (15,13) (13,11)
3 null null
0 (2,3) (4,5)
0 null null
1 (11,4) (9,6)
1 null null
2 (0,14) (2,12)
2 null null
3 (13,15) (11,13)
3 null null
0 (3,2) (5,4)
0 null null
1 (10,3) (8,5)
1 null null
2 (1,13) (3,11)
2 null null
3 (14,12) (12,10)
3 null null
0 (4,3) (6,5)
0 null null
1 (8,5) (6,7)
1 null null
2 (2,12) (4,10)
2 null null
3 (12,14) (10,12)
3 null null
0 (3,4) (5,6)
0 null null
1 (11,3) (9,5)
1 null null
2 (3,11) (5,9)
2 null null
3 (13,11) (11,9)
3 null null
0 (8,6) (10,8)
0 null null
1 (10,4) (8,6)
1 null null
2 (0,13) (2,11)
2 null null
3 (11,13) (9,11)
3 null null
0 (6,8) (8,10)
0 null null
1 (8,6) (6,8)
1 null null
2 (1,12) (3,10)
2 null null
3 (9,11) (9,9)
3 null null
0 (7,9) (9,11)
0 null null
1 (6,7) (6,9)
1 null null
2 (2,11) (4,9)
2 null null
3 (10,12) (10,10)
3 null null
0 (4,5) (6,7)
0 null null
1 (11,5) (10,6)
2 (9,7) (11,5)
2 null null
3 (11,9) (9,7)
3 null null
0 (8,10) (10,12)
0 null null
1 (8,8) (7,9)
2 (6,10) (8,8)
2 null null
3 (12,10) (11,9)
0 (10,8) (12,10)
0 null null
1 (6,8) (6,10)
1 null null
2 (4,10) (6,8)
2 null null
3 (11,9) (10,8)
0 (9,11) (11,13)
0 null null
1 (7,9) (5,11)
1 null null
2 (6,8) (8,6)
2 null null
3 (15,15) (14,14)
0 (10,12) (12,14)
0 null null
1 (6,10) (4,12)
1 null null
2 (3,10) (5,8)
2 null null
3 (12,15) (12,13)
3 null null
0 (11,13) (13,15)
0 null null
1 (5,11) (3,13)
1 null null
2 (8,6) (10,4)
2 null null
3 (10,8) (8,6)
3 null null
0 (0,0) (1,1)
1 (4,12) (2,14)
1 null null
2 (5,9) (7,9)
2 null null
3 (8,6) (6,4)
3 null null
0 (7,5) (8,6)
1 (3,13) (1,15)
1 null null
GAMEOVER TIMEOUT Player-2
WINNER Player-0
# Game ended: Thu Apr 10 01:01:55 GMT-04:00 2014
