# Server version 0.08 running on 142.157.168.42:8123
# Game ID: 109
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Thu Apr 03 00:55:01 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.168.42
# Player 2: Player-1, '260449697', running on 142.157.168.42
# Player 3: Player-2, '260449697', running on 142.157.168.42
# Player 4: Player-3, '260449697', running on 142.157.168.42
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
0 (2,2) (2,3)
1 (14,3) (14,4)
2 (2,13) (0,11)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (2,4)
0 null null
1 (15,1) (13,3)
1 null null
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (1,2) (1,4)
0 (1,4) (3,4)
0 null null
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (2,13) (0,15)
2 (0,15) (2,13)
2 null null
3 (15,15) (14,14)
