# Server version 0.08 running on Claudine-PC:8123
# Game ID: 196
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Mon Apr 07 11:28:44 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on Claudine-PC
# Player 2: Player-1, '260449697', running on Claudine-PC
# Player 3: Player-2, '260449697', running on Claudine-PC
# Player 4: Player-3, '260449697', running on Claudine-PC
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
2 (6,13) (7,12)
3 (9,12) (8,11)
0 (2,5) (3,6)
1 (11,1) (10,2)
2 (3,10) (4,9)
3 (15,11) (14,10)
0 (5,2) (6,3)
1 (10,2) (9,3)
2 (2,11) (3,10)
3 (8,11) (7,10)
0 (6,3) (7,4)
1 (9,3) (8,4)
2 (4,9) (5,8)
3 (14,10) (13,9)
0 (3,6) (4,7)
1 (10,1) (9,2)
2 (3,10) (4,9)
3 (13,9) (12,8)
0 (5,1) (6,2)
1 (11,0) (10,1)
2 (7,12) (8,11)
3 (15,10) (14,9)
0 (6,2) (7,3)
1 (9,2) (8,3)
2 (5,15) (6,14)
3 (14,9) (13,8)
0 (4,4) (5,4)
1 (10,1) (9,2)
2 (1,11) (2,10)
3 (10,11) (10,10)
0 (5,4) (6,5)
1 (10,0) (9,1)
2 (6,14) (7,13)
3 (13,8) (13,7)
0 (4,7) (4,8)
1 (9,1) (8,2)
2 (2,10) (3,9)
3 (13,7) (12,6)
0 (4,6) (4,7)
1 (9,2) (9,3)
2 (7,13) (8,12)
3 (12,6) (11,5)
0 (7,3) (6,4)
1 (8,2) (7,3)
2 (3,9) (3,8)
3 (11,5) (10,4)
0 (5,5) (4,6)
1 (9,3) (9,4)
2 (8,12) (9,12)
3 (6,6) (5,5)
0 (5,6) (6,6)
1 (9,4) (9,5)
2 (9,12) (10,11)
3 (5,5) (4,4)
0 (4,6) (5,6)
1 (10,5) (10,6)
2 (10,11) (11,10)
3 (4,4) (3,3)
0 (6,4) (5,5)
1 (7,3) (6,4)
2 (11,10) (12,9)
3 (3,3) (2,2)
0 (5,5) (4,6)
1 (6,4) (5,5)
2 (12,9) (13,8)
3 (2,2) (1,1)
0 (4,6) (3,7)
1 (5,5) (4,6)
2 (13,8) (14,7)
3 (1,1) (0,0)
0 (3,7) (2,8)
1 (4,6) (3,7)
2 (14,7) (15,6)
3 (10,4) (9,3)
0 (2,8) (3,9)
1 (3,7) (2,8)
2 (15,6) (15,5)
3 (9,3) (8,2)
0 (3,9) (4,10)
1 (2,8) (1,9)
2 (15,5) (15,4)
3 (8,2) (7,1)
0 (4,10) (5,11)
1 (1,9) (0,10)
2 (15,4) (15,3)
3 (7,1) (6,0)
0 (5,11) (6,12)
1 (0,10) (0,11)
2 (15,3) (15,2)
3 (6,0) (5,0)
0 (6,12) (7,13)
1 (0,11) (0,12)
2 (15,2) (15,1)
3 (5,0) (4,0)
0 (7,13) (8,14)
1 (0,12) (0,13)
2 (3,8) (3,7)
3 (4,0) (3,0)
0 (8,14) (9,15)
1 (0,13) (0,14)
2 (3,7) (4,6)
3 (3,0) (2,0)
0 (9,15) (10,15)
1 (0,14) (0,15)
2 (4,6) (5,5)
3 (2,0) (1,0)
0 (10,15) (11,15)
1 (8,3) (7,3)
2 (5,5) (6,4)
3 (12,8) (11,9)
0 (11,15) (12,15)
1 (12,7) (12,8)
2 (15,1) (15,0)
3 (1,0) (0,1)
0 (12,15) (13,15)
1 (12,8) (12,9)
2 (6,4) (6,3)
3 (0,1) (1,0)
0 (13,15) (14,15)
1 (12,9) (11,10)
2 (6,3) (7,2)
3 (1,0) (0,1)
0 (14,15) (15,15)
1 (11,10) (10,11)
2 (7,2) (8,1)
3 (0,1) (1,0)
0 (7,4) (8,3)
1 (7,3) (6,4)
2 (8,1) (9,0)
3 (1,0) (0,1)
0 (8,3) (9,4)
1 (6,4) (5,5)
2 (9,0) (10,0)
3 (0,1) (1,0)
0 (9,4) (10,5)
1 (10,11) (9,12)
2 (10,0) (11,0)
3 (1,0) (0,1)
0 (10,5) (11,6)
1 (5,5) (4,6)
2 (11,0) (12,0)
3 (0,1) (1,0)
0 (11,6) (12,7)
1 (9,12) (8,13)
2 (12,0) (13,0)
3 (1,0) (0,1)
0 (12,7) (13,8)
1 (4,6) (3,7)
2 (13,0) (14,0)
3 (0,1) (1,0)
0 (13,8) (14,9)
1 (8,13) (7,14)
2 (14,0) (15,1)
3 (1,0) (0,1)
0 (14,9) (15,10)
1 (3,7) (2,8)
2 (4,9) (5,10)
3 (0,1) (1,0)
0 (15,10) (15,11)
1 (7,14) (6,15)
2 (5,10) (6,11)
3 (1,0) (0,1)
0 (15,11) (15,12)
1 (2,8) (1,9)
2 (6,11) (5,10)
3 (0,1) (1,0)
0 (15,12) (15,13)
1 (1,9) (0,10)
2 (5,10) (6,11)
3 (1,0) (0,1)
0 (15,13) (15,14)
1 (0,10) (0,11)
2 (6,11) (5,10)
3 (0,1) (1,0)
0 (4,8) (4,9)
1 (0,11) (0,12)
2 (5,10) (6,11)
3 (1,0) (0,1)
0 (4,9) (5,10)
1 (0,12) (0,13)
2 (6,11) (7,12)
3 (0,1) (1,0)
0 (5,10) (6,11)
1 (0,13) (0,14)
2 (7,12) (8,12)
3 (1,0) (0,1)
0 (6,11) (7,12)
1 (6,15) (5,15)
2 (8,12) (9,12)
3 (0,1) (1,0)
0 (7,12) (8,13)
1 (5,15) (4,15)
2 (9,12) (10,11)
3 (1,0) (0,1)
0 (8,13) (9,14)
1 (4,15) (3,15)
2 (10,11) (11,10)
3 (0,1) (1,0)
0 (9,14) (10,15)
1 (3,15) (2,15)
2 (11,10) (12,9)
3 (1,0) (0,1)
0 (10,15) (11,15)
1 (2,15) (1,15)
2 (12,9) (13,8)
3 (0,1) (1,0)
0 (11,15) (12,15)
1 (8,4) (7,4)
2 (13,8) (14,7)
3 (1,0) (0,1)
0 (12,15) (13,15)
1 (7,4) (6,4)
2 (14,7) (15,6)
3 (0,1) (1,0)
0 (13,15) (14,15)
1 (6,4) (5,5)
2 (15,6) (15,5)
3 (1,0) (0,1)
0 (4,7) (4,8)
1 (5,5) (4,6)
2 (15,5) (15,4)
3 (0,1) (1,0)
0 (4,8) (4,9)
1 (4,6) (3,7)
2 (15,4) (15,3)
3 (1,0) (0,1)
0 (4,9) (5,10)
